NO_OF_FRAMES	3000
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-06-28, 17:16:30.991	1829317.80032220
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
120	1.19000	-2.86150	-2.79792	13.67457	-178.78276	1.26717	-86.40955	0.46160	0.06261	0.99778	0.02259	0.99779	-0.06308	0.02074	0.02211	0.02124	-0.99953	
121	1.20000	-2.83099	-2.80026	13.65823	-178.79857	1.23500	-86.39211	0.45880	0.06291	0.99777	0.02228	0.99779	-0.06337	0.02019	0.02155	0.02096	-0.99955	
122	1.21000	-2.84828	-2.76015	13.57662	-178.91969	1.18507	-86.41720	0.39079	0.06248	0.99784	0.02011	0.99783	-0.06287	0.01946	0.02068	0.01885	-0.99961	
123	1.22000	-2.86234	-2.74832	13.55301	-178.87070	1.18827	-86.42828	0.37864	0.06228	0.99784	0.02096	0.99784	-0.06269	0.01947	0.02074	0.01970	-0.99959	
124	1.23000	-2.83281	-2.80372	13.67691	-178.77151	1.25693	-86.39059	0.46927	0.06294	0.99776	0.02278	0.99778	-0.06341	0.02054	0.02194	0.02143	-0.99953	
125	1.24000	-2.86293	-2.79891	13.67639	-178.81277	1.25035	-86.40063	0.45128	0.06276	0.99778	0.02205	0.99779	-0.06322	0.02047	0.02182	0.02071	-0.99955	
126	1.25000	-2.84643	-2.76512	13.59341	-178.89200	1.17887	-86.41084	0.37276	0.06259	0.99783	0.02059	0.99783	-0.06299	0.01932	0.02057	0.01933	-0.99960	
127	1.26000	-2.85646	-2.76126	13.57431	-178.87761	1.17941	-86.42638	0.40284	0.06232	0.99784	0.02083	0.99784	-0.06272	0.01932	0.02058	0.01958	-0.99960	
128	1.27000	-2.86734	-2.77694	13.64652	-178.81511	1.23058	-86.42747	0.41902	0.06230	0.99782	0.02198	0.99783	-0.06274	0.02014	0.02148	0.02067	-0.99956	
129	1.28000	-2.86494	-2.79687	13.71377	-178.74446	1.26784	-86.40235	0.48300	0.06273	0.99776	0.02326	0.99778	-0.06322	0.02070	0.02213	0.02191	-0.99952	
130	1.29000	-2.86232	-2.76315	13.62507	-178.87973	1.18597	-86.41631	0.37275	0.06249	0.99783	0.02081	0.99783	-0.06290	0.01943	0.02070	0.01955	-0.99959	
131	1.30000	-2.85186	-2.76085	13.57258	-178.90350	1.19488	-86.42145	0.38752	0.06240	0.99784	0.02040	0.99783	-0.06280	0.01961	0.02085	0.01913	-0.99960	
132	1.31000	-2.84991	-2.79355	13.64541	-178.80605	1.26930	-86.40077	0.46067	0.06276	0.99778	0.02219	0.99778	-0.06322	0.02080	0.02215	0.02083	-0.99954	
